path,strength,budget,error_amplitude,overhead,distinct_q_across_delays,delay_sensitive
balanced,0.6000000000000001,8000,1.0,0,1,False
balanced,0.6000000000000001,8000,1.0,4,1,False
balanced,0.6000000000000001,8000,1.0,16,1,False
balanced,0.7000000000000001,250,0.01,0,1,False
balanced,0.7000000000000001,250,0.01,4,1,False
balanced,0.7000000000000001,250,0.01,16,1,False
balanced,0.7000000000000001,250,0.03,0,1,False
balanced,0.7000000000000001,250,0.03,4,1,False
balanced,0.7000000000000001,250,0.03,16,1,False
balanced,0.7000000000000001,250,0.1,0,1,False
balanced,0.7000000000000001,250,0.1,4,1,False
balanced,0.7000000000000001,250,0.1,16,1,False
balanced,0.7000000000000001,250,0.3,0,1,False
balanced,0.7000000000000001,250,0.3,4,1,False
balanced,0.7000000000000001,250,0.3,16,1,False
balanced,0.7000000000000001,250,1.0,0,1,False
balanced,0.7000000000000001,250,1.0,4,1,False
balanced,0.7000000000000001,250,1.0,16,1,False
balanced,0.7000000000000001,500,0.01,0,1,False
balanced,0.7000000000000001,500,0.01,4,1,False
balanced,0.7000000000000001,500,0.01,16,1,False
balanced,0.7000000000000001,500,0.03,0,1,False
balanced,0.7000000000000001,500,0.03,4,1,False
balanced,0.7000000000000001,500,0.03,16,1,False
balanced,0.7000000000000001,500,0.1,0,1,False
balanced,0.7000000000000001,500,0.1,4,1,False
balanced,0.7000000000000001,500,0.1,16,1,False
balanced,0.7000000000000001,500,0.3,0,1,False
balanced,0.7000000000000001,500,0.3,4,1,False
balanced,0.7000000000000001,500,0.3,16,1,False
balanced,0.7000000000000001,500,1.0,0,1,False
balanced,0.7000000000000001,500,1.0,4,1,False
balanced,0.7000000000000001,500,1.0,16,1,False
balanced,0.7000000000000001,1000,0.01,0,1,False
balanced,0.7000000000000001,1000,0.01,4,1,False
balanced,0.7000000000000001,1000,0.01,16,1,False
balanced,0.7000000000000001,1000,0.03,0,1,False
balanced,0.7000000000000001,1000,0.03,4,1,False
balanced,0.7000000000000001,1000,0.03,16,1,False
balanced,0.7000000000000001,1000,0.1,0,1,False
balanced,0.7000000000000001,1000,0.1,4,1,False
balanced,0.7000000000000001,1000,0.1,16,1,False
balanced,0.7000000000000001,1000,0.3,0,1,False
balanced,0.7000000000000001,1000,0.3,4,1,False
balanced,0.7000000000000001,1000,0.3,16,1,False
balanced,0.7000000000000001,1000,1.0,0,1,False
balanced,0.7000000000000001,1000,1.0,4,1,False
balanced,0.7000000000000001,1000,1.0,16,1,False
balanced,0.7000000000000001,2000,0.01,0,1,False
balanced,0.7000000000000001,2000,0.01,4,1,False
balanced,0.7000000000000001,2000,0.01,16,1,False
balanced,0.7000000000000001,2000,0.03,0,1,False
balanced,0.7000000000000001,2000,0.03,4,1,False
balanced,0.7000000000000001,2000,0.03,16,1,False
balanced,0.7000000000000001,2000,0.1,0,1,False
balanced,0.7000000000000001,2000,0.1,4,1,False
balanced,0.7000000000000001,2000,0.1,16,2,True
balanced,0.7000000000000001,2000,0.3,0,1,False
balanced,0.7000000000000001,2000,0.3,4,1,False
balanced,0.7000000000000001,2000,0.3,16,1,False
balanced,0.7000000000000001,2000,1.0,0,1,False
balanced,0.7000000000000001,2000,1.0,4,1,False
balanced,0.7000000000000001,2000,1.0,16,1,False
balanced,0.7000000000000001,4000,0.01,0,1,False
balanced,0.7000000000000001,4000,0.01,4,1,False
balanced,0.7000000000000001,4000,0.01,16,1,False
balanced,0.7000000000000001,4000,0.03,0,1,False
balanced,0.7000000000000001,4000,0.03,4,1,False
balanced,0.7000000000000001,4000,0.03,16,1,False
balanced,0.7000000000000001,4000,0.1,0,1,False
balanced,0.7000000000000001,4000,0.1,4,1,False
balanced,0.7000000000000001,4000,0.1,16,1,False
balanced,0.7000000000000001,4000,0.3,0,1,False
balanced,0.7000000000000001,4000,0.3,4,1,False
balanced,0.7000000000000001,4000,0.3,16,1,False
balanced,0.7000000000000001,4000,1.0,0,1,False
balanced,0.7000000000000001,4000,1.0,4,1,False
balanced,0.7000000000000001,4000,1.0,16,1,False
balanced,0.7000000000000001,8000,0.01,0,2,True
balanced,0.7000000000000001,8000,0.01,4,1,False
balanced,0.7000000000000001,8000,0.01,16,1,False
balanced,0.7000000000000001,8000,0.03,0,2,True
balanced,0.7000000000000001,8000,0.03,4,1,False
balanced,0.7000000000000001,8000,0.03,16,1,False
balanced,0.7000000000000001,8000,0.1,0,1,False
balanced,0.7000000000000001,8000,0.1,4,1,False
balanced,0.7000000000000001,8000,0.1,16,1,False
balanced,0.7000000000000001,8000,0.3,0,1,False
balanced,0.7000000000000001,8000,0.3,4,1,False
balanced,0.7000000000000001,8000,0.3,16,1,False
balanced,0.7000000000000001,8000,1.0,0,1,False
balanced,0.7000000000000001,8000,1.0,4,1,False
balanced,0.7000000000000001,8000,1.0,16,1,False
balanced,0.8,250,0.01,0,1,False
balanced,0.8,250,0.01,4,1,False
balanced,0.8,250,0.01,16,1,False
balanced,0.8,250,0.03,0,1,False
balanced,0.8,250,0.03,4,1,False
balanced,0.8,250,0.03,16,1,False
balanced,0.8,250,0.1,0,1,False
balanced,0.8,250,0.1,4,1,False
balanced,0.8,250,0.1,16,1,False
balanced,0.8,250,0.3,0,1,False
balanced,0.8,250,0.3,4,1,False
balanced,0.8,250,0.3,16,1,False
balanced,0.8,250,1.0,0,1,False
balanced,0.8,250,1.0,4,1,False
balanced,0.8,250,1.0,16,1,False
balanced,0.8,500,0.01,0,1,False
balanced,0.8,500,0.01,4,1,False
balanced,0.8,500,0.01,16,1,False
balanced,0.8,500,0.03,0,1,False
balanced,0.8,500,0.03,4,1,False
balanced,0.8,500,0.03,16,1,False
balanced,0.8,500,0.1,0,1,False
balanced,0.8,500,0.1,4,1,False
balanced,0.8,500,0.1,16,1,False
balanced,0.8,500,0.3,0,1,False
balanced,0.8,500,0.3,4,1,False
balanced,0.8,500,0.3,16,1,False
balanced,0.8,500,1.0,0,1,False
balanced,0.8,500,1.0,4,1,False
balanced,0.8,500,1.0,16,1,False
balanced,0.8,1000,0.01,0,1,False
balanced,0.8,1000,0.01,4,1,False
balanced,0.8,1000,0.01,16,1,False
balanced,0.8,1000,0.03,0,1,False
balanced,0.8,1000,0.03,4,1,False
balanced,0.8,1000,0.03,16,1,False
balanced,0.8,1000,0.1,0,1,False
balanced,0.8,1000,0.1,4,1,False
balanced,0.8,1000,0.1,16,1,False
balanced,0.8,1000,0.3,0,1,False
balanced,0.8,1000,0.3,4,1,False
balanced,0.8,1000,0.3,16,1,False
balanced,0.8,1000,1.0,0,1,False
balanced,0.8,1000,1.0,4,1,False
balanced,0.8,1000,1.0,16,1,False
balanced,0.8,2000,0.01,0,1,False
balanced,0.8,2000,0.01,4,1,False
balanced,0.8,2000,0.01,16,1,False
balanced,0.8,2000,0.03,0,1,False
balanced,0.8,2000,0.03,4,1,False
balanced,0.8,2000,0.03,16,1,False
balanced,0.8,2000,0.1,0,1,False
balanced,0.8,2000,0.1,4,1,False
balanced,0.8,2000,0.1,16,1,False
balanced,0.8,2000,0.3,0,1,False
balanced,0.8,2000,0.3,4,1,False
balanced,0.8,2000,0.3,16,1,False
balanced,0.8,2000,1.0,0,1,False
balanced,0.8,2000,1.0,4,1,False
balanced,0.8,2000,1.0,16,1,False
balanced,0.8,4000,0.01,0,1,False
balanced,0.8,4000,0.01,4,1,False
balanced,0.8,4000,0.01,16,1,False
balanced,0.8,4000,0.03,0,1,False
balanced,0.8,4000,0.03,4,1,False
balanced,0.8,4000,0.03,16,1,False
balanced,0.8,4000,0.1,0,2,True
balanced,0.8,4000,0.1,4,1,False
balanced,0.8,4000,0.1,16,1,False
balanced,0.8,4000,0.3,0,1,False
balanced,0.8,4000,0.3,4,1,False
balanced,0.8,4000,0.3,16,1,False
balanced,0.8,4000,1.0,0,1,False
balanced,0.8,4000,1.0,4,1,False
balanced,0.8,4000,1.0,16,1,False
balanced,0.8,8000,0.01,0,2,True
balanced,0.8,8000,0.01,4,1,False
balanced,0.8,8000,0.01,16,1,False
balanced,0.8,8000,0.03,0,2,True
balanced,0.8,8000,0.03,4,1,False
balanced,0.8,8000,0.03,16,1,False
balanced,0.8,8000,0.1,0,1,False
balanced,0.8,8000,0.1,4,1,False
balanced,0.8,8000,0.1,16,1,False
balanced,0.8,8000,0.3,0,1,False
balanced,0.8,8000,0.3,4,1,False
balanced,0.8,8000,0.3,16,1,False
balanced,0.8,8000,1.0,0,1,False
balanced,0.8,8000,1.0,4,1,False
balanced,0.8,8000,1.0,16,1,False
clustered,0.0,250,0.01,0,1,False
clustered,0.0,250,0.01,4,1,False
clustered,0.0,250,0.01,16,1,False
clustered,0.0,250,0.03,0,1,False
clustered,0.0,250,0.03,4,2,True
clustered,0.0,250,0.03,16,1,False
clustered,0.0,250,0.1,0,1,False
clustered,0.0,250,0.1,4,1,False
clustered,0.0,250,0.1,16,1,False
clustered,0.0,250,0.3,0,2,True
clustered,0.0,250,0.3,4,2,True
clustered,0.0,250,0.3,16,1,False
clustered,0.0,250,1.0,0,2,True
clustered,0.0,250,1.0,4,1,False
clustered,0.0,250,1.0,16,2,True
clustered,0.0,500,0.01,0,1,False
clustered,0.0,500,0.01,4,1,False
clustered,0.0,500,0.01,16,1,False
clustered,0.0,500,0.03,0,1,False
clustered,0.0,500,0.03,4,1,False
clustered,0.0,500,0.03,16,1,False
clustered,0.0,500,0.1,0,2,True
clustered,0.0,500,0.1,4,1,False
clustered,0.0,500,0.1,16,1,False
clustered,0.0,500,0.3,0,2,True
clustered,0.0,500,0.3,4,2,True
clustered,0.0,500,0.3,16,2,True
clustered,0.0,500,1.0,0,3,True
clustered,0.0,500,1.0,4,2,True
clustered,0.0,500,1.0,16,2,True
clustered,0.0,1000,0.01,0,1,False
clustered,0.0,1000,0.01,4,1,False
clustered,0.0,1000,0.01,16,1,False
clustered,0.0,1000,0.03,0,1,False
clustered,0.0,1000,0.03,4,1,False
clustered,0.0,1000,0.03,16,1,False
clustered,0.0,1000,0.1,0,2,True
clustered,0.0,1000,0.1,4,1,False
clustered,0.0,1000,0.1,16,1,False
clustered,0.0,1000,0.3,0,2,True
clustered,0.0,1000,0.3,4,2,True
clustered,0.0,1000,0.3,16,2,True
clustered,0.0,1000,1.0,0,3,True
clustered,0.0,1000,1.0,4,2,True
clustered,0.0,1000,1.0,16,2,True
clustered,0.0,2000,0.01,0,1,False
clustered,0.0,2000,0.01,4,1,False
clustered,0.0,2000,0.01,16,1,False
clustered,0.0,2000,0.03,0,1,False
clustered,0.0,2000,0.03,4,1,False
clustered,0.0,2000,0.03,16,1,False
clustered,0.0,2000,0.1,0,2,True
clustered,0.0,2000,0.1,4,1,False
clustered,0.0,2000,0.1,16,1,False
clustered,0.0,2000,0.3,0,2,True
clustered,0.0,2000,0.3,4,1,False
clustered,0.0,2000,0.3,16,1,False
clustered,0.0,2000,1.0,0,2,True
clustered,0.0,2000,1.0,4,2,True
clustered,0.0,2000,1.0,16,1,False
clustered,0.0,4000,0.01,0,1,False
clustered,0.0,4000,0.01,4,1,False
clustered,0.0,4000,0.01,16,1,False
clustered,0.0,4000,0.03,0,1,False
clustered,0.0,4000,0.03,4,1,False
clustered,0.0,4000,0.03,16,1,False
clustered,0.0,4000,0.1,0,2,True
clustered,0.0,4000,0.1,4,1,False
clustered,0.0,4000,0.1,16,1,False
clustered,0.0,4000,0.3,0,1,False
clustered,0.0,4000,0.3,4,1,False
clustered,0.0,4000,0.3,16,1,False
clustered,0.0,4000,1.0,0,2,True
clustered,0.0,4000,1.0,4,1,False
clustered,0.0,4000,1.0,16,1,False
clustered,0.0,8000,0.01,0,1,False
clustered,0.0,8000,0.01,4,1,False
clustered,0.0,8000,0.01,16,1,False
clustered,0.0,8000,0.03,0,1,False
clustered,0.0,8000,0.03,4,1,False
clustered,0.0,8000,0.03,16,1,False
clustered,0.0,8000,0.1,0,2,True
clustered,0.0,8000,0.1,4,1,False
clustered,0.0,8000,0.1,16,1,False
clustered,0.0,8000,0.3,0,2,True
clustered,0.0,8000,0.3,4,1,False
clustered,0.0,8000,0.3,16,1,False
clustered,0.0,8000,1.0,0,2,True
clustered,0.0,8000,1.0,4,1,False
clustered,0.0,8000,1.0,16,1,False
clustered,0.1,250,0.01,0,1,False
clustered,0.1,250,0.01,4,1,False
clustered,0.1,250,0.01,16,1,False
clustered,0.1,250,0.03,0,1,False
clustered,0.1,250,0.03,4,1,False
clustered,0.1,250,0.03,16,1,False
clustered,0.1,250,0.1,0,1,False
clustered,0.1,250,0.1,4,1,False
clustered,0.1,250,0.1,16,1,False
clustered,0.1,250,0.3,0,1,False
clustered,0.1,250,0.3,4,2,True
clustered,0.1,250,0.3,16,1,False
clustered,0.1,250,1.0,0,1,False
clustered,0.1,250,1.0,4,1,False
clustered,0.1,250,1.0,16,2,True
clustered,0.1,500,0.01,0,1,False
clustered,0.1,500,0.01,4,1,False
clustered,0.1,500,0.01,16,1,False
clustered,0.1,500,0.03,0,1,False
clustered,0.1,500,0.03,4,1,False
clustered,0.1,500,0.03,16,1,False
clustered,0.1,500,0.1,0,1,False
clustered,0.1,500,0.1,4,1,False
clustered,0.1,500,0.1,16,1,False
clustered,0.1,500,0.3,0,1,False
clustered,0.1,500,0.3,4,1,False
clustered,0.1,500,0.3,16,2,True
clustered,0.1,500,1.0,0,1,False
clustered,0.1,500,1.0,4,2,True
clustered,0.1,500,1.0,16,2,True
clustered,0.1,1000,0.01,0,1,False
clustered,0.1,1000,0.01,4,1,False
clustered,0.1,1000,0.01,16,1,False
clustered,0.1,1000,0.03,0,1,False
clustered,0.1,1000,0.03,4,1,False
clustered,0.1,1000,0.03,16,1,False
clustered,0.1,1000,0.1,0,1,False
clustered,0.1,1000,0.1,4,1,False
clustered,0.1,1000,0.1,16,1,False
clustered,0.1,1000,0.3,0,1,False
clustered,0.1,1000,0.3,4,1,False
clustered,0.1,1000,0.3,16,1,False
clustered,0.1,1000,1.0,0,1,False
clustered,0.1,1000,1.0,4,1,False
clustered,0.1,1000,1.0,16,2,True
clustered,0.1,2000,0.01,0,1,False
clustered,0.1,2000,0.01,4,1,False
clustered,0.1,2000,0.01,16,1,False
clustered,0.1,2000,0.03,0,1,False
clustered,0.1,2000,0.03,4,1,False
clustered,0.1,2000,0.03,16,1,False
clustered,0.1,2000,0.1,0,1,False
clustered,0.1,2000,0.1,4,1,False
clustered,0.1,2000,0.1,16,1,False
clustered,0.1,2000,0.3,0,1,False
clustered,0.1,2000,0.3,4,1,False
clustered,0.1,2000,0.3,16,2,True
clustered,0.1,2000,1.0,0,1,False
clustered,0.1,2000,1.0,4,1,False
clustered,0.1,2000,1.0,16,2,True
clustered,0.1,4000,0.01,0,1,False
clustered,0.1,4000,0.01,4,1,False
clustered,0.1,4000,0.01,16,1,False
clustered,0.1,4000,0.03,0,1,False
clustered,0.1,4000,0.03,4,1,False
clustered,0.1,4000,0.03,16,1,False
clustered,0.1,4000,0.1,0,1,False
clustered,0.1,4000,0.1,4,1,False
clustered,0.1,4000,0.1,16,1,False
clustered,0.1,4000,0.3,0,1,False
clustered,0.1,4000,0.3,4,1,False
clustered,0.1,4000,0.3,16,1,False
clustered,0.1,4000,1.0,0,1,False
clustered,0.1,4000,1.0,4,1,False
clustered,0.1,4000,1.0,16,3,True
clustered,0.1,8000,0.01,0,1,False
clustered,0.1,8000,0.01,4,1,False
clustered,0.1,8000,0.01,16,1,False
clustered,0.1,8000,0.03,0,1,False
clustered,0.1,8000,0.03,4,1,False
clustered,0.1,8000,0.03,16,1,False
clustered,0.1,8000,0.1,0,1,False
clustered,0.1,8000,0.1,4,1,False
clustered,0.1,8000,0.1,16,1,False
clustered,0.1,8000,0.3,0,1,False
clustered,0.1,8000,0.3,4,1,False
clustered,0.1,8000,0.3,16,1,False
clustered,0.1,8000,1.0,0,1,False
clustered,0.1,8000,1.0,4,1,False
clustered,0.1,8000,1.0,16,1,False
clustered,0.2,250,0.01,0,1,False
clustered,0.2,250,0.01,4,1,False
clustered,0.2,250,0.01,16,1,False
clustered,0.2,250,0.03,0,1,False
clustered,0.2,250,0.03,4,1,False
clustered,0.2,250,0.03,16,1,False
clustered,0.2,250,0.1,0,1,False
clustered,0.2,250,0.1,4,1,False
clustered,0.2,250,0.1,16,1,False
clustered,0.2,250,0.3,0,1,False
clustered,0.2,250,0.3,4,1,False
clustered,0.2,250,0.3,16,1,False
clustered,0.2,250,1.0,0,1,False
clustered,0.2,250,1.0,4,1,False
clustered,0.2,250,1.0,16,2,True
clustered,0.2,500,0.01,0,1,False
clustered,0.2,500,0.01,4,1,False
clustered,0.2,500,0.01,16,1,False
clustered,0.2,500,0.03,0,1,False
clustered,0.2,500,0.03,4,1,False
clustered,0.2,500,0.03,16,1,False
clustered,0.2,500,0.1,0,1,False
clustered,0.2,500,0.1,4,1,False
clustered,0.2,500,0.1,16,1,False
clustered,0.2,500,0.3,0,1,False
clustered,0.2,500,0.3,4,1,False
clustered,0.2,500,0.3,16,1,False
clustered,0.2,500,1.0,0,1,False
clustered,0.2,500,1.0,4,1,False
clustered,0.2,500,1.0,16,2,True
clustered,0.2,1000,0.01,0,1,False
clustered,0.2,1000,0.01,4,1,False
clustered,0.2,1000,0.01,16,1,False
clustered,0.2,1000,0.03,0,1,False
clustered,0.2,1000,0.03,4,1,False
clustered,0.2,1000,0.03,16,1,False
clustered,0.2,1000,0.1,0,1,False
clustered,0.2,1000,0.1,4,1,False
clustered,0.2,1000,0.1,16,1,False
clustered,0.2,1000,0.3,0,1,False
clustered,0.2,1000,0.3,4,1,False
clustered,0.2,1000,0.3,16,1,False
clustered,0.2,1000,1.0,0,1,False
clustered,0.2,1000,1.0,4,1,False
clustered,0.2,1000,1.0,16,2,True
clustered,0.2,2000,0.01,0,1,False
clustered,0.2,2000,0.01,4,1,False
clustered,0.2,2000,0.01,16,1,False
clustered,0.2,2000,0.03,0,1,False
clustered,0.2,2000,0.03,4,1,False
clustered,0.2,2000,0.03,16,1,False
clustered,0.2,2000,0.1,0,1,False
clustered,0.2,2000,0.1,4,1,False
clustered,0.2,2000,0.1,16,1,False
clustered,0.2,2000,0.3,0,1,False
clustered,0.2,2000,0.3,4,1,False
clustered,0.2,2000,0.3,16,1,False
clustered,0.2,2000,1.0,0,1,False
clustered,0.2,2000,1.0,4,1,False
clustered,0.2,2000,1.0,16,2,True
clustered,0.2,4000,0.01,0,1,False
clustered,0.2,4000,0.01,4,1,False
clustered,0.2,4000,0.01,16,1,False
clustered,0.2,4000,0.03,0,1,False
clustered,0.2,4000,0.03,4,1,False
clustered,0.2,4000,0.03,16,1,False
clustered,0.2,4000,0.1,0,1,False
clustered,0.2,4000,0.1,4,1,False
clustered,0.2,4000,0.1,16,1,False
clustered,0.2,4000,0.3,0,1,False
clustered,0.2,4000,0.3,4,1,False
clustered,0.2,4000,0.3,16,1,False
clustered,0.2,4000,1.0,0,1,False
clustered,0.2,4000,1.0,4,1,False
clustered,0.2,4000,1.0,16,1,False
clustered,0.2,8000,0.01,0,1,False
clustered,0.2,8000,0.01,4,1,False
clustered,0.2,8000,0.01,16,1,False
clustered,0.2,8000,0.03,0,1,False
clustered,0.2,8000,0.03,4,1,False
clustered,0.2,8000,0.03,16,1,False
clustered,0.2,8000,0.1,0,1,False
clustered,0.2,8000,0.1,4,1,False
clustered,0.2,8000,0.1,16,1,False
clustered,0.2,8000,0.3,0,1,False
clustered,0.2,8000,0.3,4,1,False
clustered,0.2,8000,0.3,16,1,False
clustered,0.2,8000,1.0,0,1,False
clustered,0.2,8000,1.0,4,1,False
clustered,0.2,8000,1.0,16,1,False
clustered,0.30000000000000004,250,0.01,0,1,False
clustered,0.30000000000000004,250,0.01,4,1,False
clustered,0.30000000000000004,250,0.01,16,1,False
clustered,0.30000000000000004,250,0.03,0,1,False
clustered,0.30000000000000004,250,0.03,4,1,False
clustered,0.30000000000000004,250,0.03,16,1,False
clustered,0.30000000000000004,250,0.1,0,1,False
clustered,0.30000000000000004,250,0.1,4,1,False
clustered,0.30000000000000004,250,0.1,16,1,False
clustered,0.30000000000000004,250,0.3,0,1,False
clustered,0.30000000000000004,250,0.3,4,1,False
clustered,0.30000000000000004,250,0.3,16,1,False
clustered,0.30000000000000004,250,1.0,0,1,False
clustered,0.30000000000000004,250,1.0,4,1,False
clustered,0.30000000000000004,250,1.0,16,1,False
clustered,0.30000000000000004,500,0.01,0,1,False
clustered,0.30000000000000004,500,0.01,4,1,False
clustered,0.30000000000000004,500,0.01,16,1,False
clustered,0.30000000000000004,500,0.03,0,1,False
clustered,0.30000000000000004,500,0.03,4,1,False
clustered,0.30000000000000004,500,0.03,16,1,False
clustered,0.30000000000000004,500,0.1,0,1,False
clustered,0.30000000000000004,500,0.1,4,1,False
clustered,0.30000000000000004,500,0.1,16,1,False
clustered,0.30000000000000004,500,0.3,0,1,False
clustered,0.30000000000000004,500,0.3,4,1,False
clustered,0.30000000000000004,500,0.3,16,1,False
clustered,0.30000000000000004,500,1.0,0,1,False
clustered,0.30000000000000004,500,1.0,4,1,False
clustered,0.30000000000000004,500,1.0,16,2,True
clustered,0.30000000000000004,1000,0.01,0,1,False
clustered,0.30000000000000004,1000,0.01,4,1,False
clustered,0.30000000000000004,1000,0.01,16,1,False
clustered,0.30000000000000004,1000,0.03,0,1,False
clustered,0.30000000000000004,1000,0.03,4,1,False
clustered,0.30000000000000004,1000,0.03,16,1,False
clustered,0.30000000000000004,1000,0.1,0,1,False
clustered,0.30000000000000004,1000,0.1,4,1,False
clustered,0.30000000000000004,1000,0.1,16,1,False
clustered,0.30000000000000004,1000,0.3,0,1,False
clustered,0.30000000000000004,1000,0.3,4,1,False
clustered,0.30000000000000004,1000,0.3,16,2,True
clustered,0.30000000000000004,1000,1.0,0,1,False
clustered,0.30000000000000004,1000,1.0,4,1,False
clustered,0.30000000000000004,1000,1.0,16,1,False
clustered,0.30000000000000004,2000,0.01,0,1,False
clustered,0.30000000000000004,2000,0.01,4,1,False
clustered,0.30000000000000004,2000,0.01,16,1,False
clustered,0.30000000000000004,2000,0.03,0,1,False
clustered,0.30000000000000004,2000,0.03,4,1,False
clustered,0.30000000000000004,2000,0.03,16,1,False
clustered,0.30000000000000004,2000,0.1,0,1,False
clustered,0.30000000000000004,2000,0.1,4,1,False
clustered,0.30000000000000004,2000,0.1,16,1,False
clustered,0.30000000000000004,2000,0.3,0,1,False
clustered,0.30000000000000004,2000,0.3,4,1,False
clustered,0.30000000000000004,2000,0.3,16,1,False
clustered,0.30000000000000004,2000,1.0,0,1,False
clustered,0.30000000000000004,2000,1.0,4,1,False
clustered,0.30000000000000004,2000,1.0,16,2,True
clustered,0.30000000000000004,4000,0.01,0,1,False
clustered,0.30000000000000004,4000,0.01,4,1,False
clustered,0.30000000000000004,4000,0.01,16,1,False
clustered,0.30000000000000004,4000,0.03,0,1,False
clustered,0.30000000000000004,4000,0.03,4,1,False
clustered,0.30000000000000004,4000,0.03,16,1,False
clustered,0.30000000000000004,4000,0.1,0,1,False
clustered,0.30000000000000004,4000,0.1,4,1,False
clustered,0.30000000000000004,4000,0.1,16,1,False
clustered,0.30000000000000004,4000,0.3,0,1,False
clustered,0.30000000000000004,4000,0.3,4,1,False
clustered,0.30000000000000004,4000,0.3,16,1,False
clustered,0.30000000000000004,4000,1.0,0,1,False
clustered,0.30000000000000004,4000,1.0,4,1,False
clustered,0.30000000000000004,4000,1.0,16,1,False
clustered,0.30000000000000004,8000,0.01,0,1,False
clustered,0.30000000000000004,8000,0.01,4,1,False
clustered,0.30000000000000004,8000,0.01,16,1,False
clustered,0.30000000000000004,8000,0.03,0,1,False
clustered,0.30000000000000004,8000,0.03,4,1,False
clustered,0.30000000000000004,8000,0.03,16,1,False
clustered,0.30000000000000004,8000,0.1,0,1,False
clustered,0.30000000000000004,8000,0.1,4,1,False
clustered,0.30000000000000004,8000,0.1,16,1,False
clustered,0.30000000000000004,8000,0.3,0,1,False
clustered,0.30000000000000004,8000,0.3,4,1,False
clustered,0.30000000000000004,8000,0.3,16,1,False
clustered,0.30000000000000004,8000,1.0,0,1,False
clustered,0.30000000000000004,8000,1.0,4,1,False
clustered,0.30000000000000004,8000,1.0,16,1,False
clustered,0.4,250,0.01,0,1,False
clustered,0.4,250,0.01,4,1,False
clustered,0.4,250,0.01,16,1,False
clustered,0.4,250,0.03,0,1,False
clustered,0.4,250,0.03,4,1,False
clustered,0.4,250,0.03,16,1,False
clustered,0.4,250,0.1,0,1,False
clustered,0.4,250,0.1,4,1,False
clustered,0.4,250,0.1,16,1,False
clustered,0.4,250,0.3,0,1,False
clustered,0.4,250,0.3,4,1,False
clustered,0.4,250,0.3,16,1,False
clustered,0.4,250,1.0,0,1,False
clustered,0.4,250,1.0,4,1,False
clustered,0.4,250,1.0,16,1,False
clustered,0.4,500,0.01,0,1,False
clustered,0.4,500,0.01,4,1,False
clustered,0.4,500,0.01,16,1,False
clustered,0.4,500,0.03,0,1,False
clustered,0.4,500,0.03,4,1,False
clustered,0.4,500,0.03,16,1,False
clustered,0.4,500,0.1,0,1,False
clustered,0.4,500,0.1,4,1,False
clustered,0.4,500,0.1,16,1,False
clustered,0.4,500,0.3,0,1,False
clustered,0.4,500,0.3,4,1,False
clustered,0.4,500,0.3,16,1,False
clustered,0.4,500,1.0,0,1,False
clustered,0.4,500,1.0,4,1,False
clustered,0.4,500,1.0,16,2,True
clustered,0.4,1000,0.01,0,1,False
clustered,0.4,1000,0.01,4,1,False
clustered,0.4,1000,0.01,16,1,False
clustered,0.4,1000,0.03,0,1,False
clustered,0.4,1000,0.03,4,1,False
clustered,0.4,1000,0.03,16,1,False
clustered,0.4,1000,0.1,0,1,False
clustered,0.4,1000,0.1,4,1,False
clustered,0.4,1000,0.1,16,1,False
clustered,0.4,1000,0.3,0,1,False
clustered,0.4,1000,0.3,4,1,False
clustered,0.4,1000,0.3,16,1,False
clustered,0.4,1000,1.0,0,1,False
clustered,0.4,1000,1.0,4,1,False
clustered,0.4,1000,1.0,16,1,False
clustered,0.4,2000,0.01,0,1,False
clustered,0.4,2000,0.01,4,1,False
clustered,0.4,2000,0.01,16,1,False
clustered,0.4,2000,0.03,0,1,False
clustered,0.4,2000,0.03,4,1,False
clustered,0.4,2000,0.03,16,1,False
clustered,0.4,2000,0.1,0,1,False
clustered,0.4,2000,0.1,4,1,False
clustered,0.4,2000,0.1,16,1,False
clustered,0.4,2000,0.3,0,1,False
clustered,0.4,2000,0.3,4,1,False
clustered,0.4,2000,0.3,16,1,False
clustered,0.4,2000,1.0,0,1,False
clustered,0.4,2000,1.0,4,1,False
clustered,0.4,2000,1.0,16,1,False
clustered,0.4,4000,0.01,0,1,False
clustered,0.4,4000,0.01,4,1,False
clustered,0.4,4000,0.01,16,1,False
clustered,0.4,4000,0.03,0,1,False
clustered,0.4,4000,0.03,4,1,False
clustered,0.4,4000,0.03,16,1,False
clustered,0.4,4000,0.1,0,1,False
clustered,0.4,4000,0.1,4,1,False
clustered,0.4,4000,0.1,16,1,False
clustered,0.4,4000,0.3,0,1,False
clustered,0.4,4000,0.3,4,1,False
clustered,0.4,4000,0.3,16,1,False
clustered,0.4,4000,1.0,0,1,False
clustered,0.4,4000,1.0,4,1,False
clustered,0.4,4000,1.0,16,1,False
clustered,0.4,8000,0.01,0,1,False
clustered,0.4,8000,0.01,4,1,False
clustered,0.4,8000,0.01,16,1,False
clustered,0.4,8000,0.03,0,1,False
clustered,0.4,8000,0.03,4,1,False
clustered,0.4,8000,0.03,16,1,False
clustered,0.4,8000,0.1,0,1,False
clustered,0.4,8000,0.1,4,1,False
clustered,0.4,8000,0.1,16,1,False
clustered,0.4,8000,0.3,0,1,False
clustered,0.4,8000,0.3,4,1,False
clustered,0.4,8000,0.3,16,1,False
clustered,0.4,8000,1.0,0,1,False
